s_x,s_y,a_dx,a_dy,reward,s'_x,s'_y
124,7,-5,-5,-3.6340285957881067,119,2
119,2,-5,-2,-1.2339861448473015,114,0
114,0,-5,0,-0.22181752883500394,109,0
109,0,-5,0,-0.24007307017930657,104,0
104,0,-5,0,-0.2606137131986941,99,0
99,0,-5,0,-0.2838247985520468,94,0
94,0,-5,0,-0.31017327214773616,89,0
89,0,-5,0,-0.34022832621300836,84,0
84,0,-5,0,-0.4746880045799514,79,0
79,0,-5,0,-0.4144136403612606,74,0
74,0,-5,0,-0.46047457311821915,69,0
69,0,-5,0,-0.514206303221215,64,0
64,0,-5,0,-0.5772860475331925,59,0
59,0,-5,0,-0.6518304256243255,54,0
54,0,-5,0,-0.7405203668131577,49,0
49,0,-5,0,-0.8467574520119285,44,0
44,0,-5,0,-0.9748520301900427,39,0
39,0,-5,0,-1.130233120615756,34,0
34,0,-5,0,-1.319647115318837,29,0
29,0,-5,0,-1.4512669403839324,24,0
24,0,-5,0,-1.834554609856518,19,0
19,0,-5,0,-2.179607543129201,14,0
